<END>	<START>	computeCheckSum([B)J	extractTarHeader(Ljava/lang/String;)V	getName()Ljava/lang/String;	getSize()J	isDirectory()Z	parseTarHeader([B)V	writeEntryHeader([B)V
XID:0	-3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -1.5754542060900203 -0.9442087500047822 -1.3519552352906967 -1.4871309078477728 -0.5248966414823772 -0.4768957754522008 -1.3036259077920835 -1.0807609345541613 -1.749034057077334
XID:1	-3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -1.5735600370986846 -0.9341129897001315 -1.3430153811059697 -1.4985316114270006 -0.5295400105070958 -0.4744633575822743 -1.3102370477118535 -1.0852620312982613 -1.7481063386856563
XID:2	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -1.569638601327909 -0.918675811970237 -1.3237354291716734 -1.4976350240807805 -0.537362951352562 -0.4775516452803128 -1.3047119078824119 -1.0840950833612932 -1.7427143874264064
XID:3	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.570881719706969 -0.9083001287013485 -1.2995973307549518 -1.5007045086455897 -0.5411452240839567 -0.4807870140918368 -1.3010292747357397 -1.0865189128649662 -1.7500513164698082
XID:4	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5701220188177911 -0.910804250286748 -1.282647097342232 -1.5060349918421123 -0.5457406892257609 -0.47967748083152006 -1.2923410836142106 -1.0865467087050895 -1.7445028779806233
XID:5	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5664916212551507 -0.9089948555853965 -1.2660486167014329 -1.5142233535053211 -0.5503448334252747 -0.47879332411466446 -1.2940608056878975 -1.085908976129263 -1.7392560958528016
XID:6	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5635499864677396 -0.9056348549379407 -1.243095031860498 -1.5261984227476462 -0.5606690433511393 -0.4774827772456164 -1.2879941372060633 -1.0795825283920288 -1.7288440281346849
XID:7	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5622747981818035 -0.8924143246070964 -1.1707816146406684 -1.5263816665999048 -0.5868748775315882 -0.4962402632289705 -1.238334944144652 -1.0403394637175867 -1.6887311670698362
XID:8	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5617728149415877 -0.890314900357932 -1.1691571157284262 -1.5262892690012293 -0.5886177059011488 -0.49573862806652613 -1.239312044750919 -1.0408282434529794 -1.6889686217337234
XID:9	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5617215514316174 -0.8995021838882105 -1.1782996537973451 -1.5199824155203572 -0.5829299034189159 -0.497693024125032 -1.2335703466112626 -1.0374981229153035 -1.6840347737932337
XID:10	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5616236166384547 -0.9117733393239723 -1.2555583962203913 -1.5175880995909246 -0.5570125443545604 -0.47746500451910423 -1.286051547118099 -1.0786711975414913 -1.7312142201981113
XID:11	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5614248074523944 -0.8854016912141762 -1.1688530733807183 -1.5286082366707425 -0.5888160864103518 -0.49592234176415706 -1.2451106624961739 -1.041941558812661 -1.691635600022594
XID:12	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5612888075621714 -0.8933234882555829 -1.1684272337341037 -1.5310885566916774 -0.5882662477950016 -0.4929712618684512 -1.2438321782001256 -1.0435867953941131 -1.6890910380739048
XID:13	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5612642789683107 -0.8970976395928749 -1.1772690108861383 -1.536566277662095 -0.5886163079905082 -0.48892105550747234 -1.246496147711211 -1.0417284203001185 -1.6891210531719478
XID:14	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5607401790010764 -0.883235798731647 -1.1671682327410589 -1.5286229203188206 -0.5905405327513029 -0.4953911367050713 -1.2462684255358696 -1.042727205376221 -1.691858818898638
XID:15	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5603275996838957 -0.8947362237626248 -1.1755486649005484 -1.53675057177582 -0.5902414744841219 -0.48827658237942606 -1.2481423377542562 -1.0430823615494627 -1.6896136692442563
XID:16	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5602844272614873 -0.8882382003419649 -1.1682516084804218 -1.526664249131503 -0.589825411860865 -0.49447339385829314 -1.2425813155962744 -1.04346464004681 -1.690231902114704
XID:17	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5600019242607417 -0.8891006370542179 -1.2119788187984726 -1.5227780295927127 -0.5707282928852018 -0.48479511399532726 -1.2790197299728043 -1.0744597832961742 -1.7226581596216857
XID:18	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5599783512181085 -0.8911194832721278 -1.1670479498783257 -1.5313795045168441 -0.5896407336778985 -0.4920253744421127 -1.24636268449445 -1.0457086110547682 -1.6899983716511924
XID:19	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5597142786992044 -0.8944145440431439 -1.204901407746912 -1.523264787452151 -0.5734529555455623 -0.48487834861067214 -1.2699703756076632 -1.0698606411377354 -1.7154747468895846
XID:20	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5589873290265315 -0.8813281276855799 -1.166723511837862 -1.5290777430744737 -0.5913360411958108 -0.4940342603938246 -1.2500006604613876 -1.0460858930675971 -1.6934149242147645
XID:21	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5583066078234513 -0.8932281082788507 -1.1767290108114106 -1.5373799995909998 -0.5899484335094161 -0.48653392402830553 -1.2533394173066212 -1.0480363148693244 -1.6923675551409585
XID:22	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.5581507603562326 -0.8884812206540904 -1.174591825651399 -1.5269983239727383 -0.5870794449302156 -0.49106093094548486 -1.2516231967464828 -1.0519323573362687 -1.6964133828531929
XID:23	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.558036250314128 -0.8995341962867693 -1.1745271120788785 -1.529810932149989 -0.5893276339931721 -0.4914793036744645 -1.2395647141260753 -1.037570615547754 -1.6855511514245851
XID:24	-3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.0 -0.0004345117740176917 -1.557964912667229 -0.8953695814981566 -1.1962005958293103 -1.5291708240291364 -0.5763173799399492 -0.4839121998016249 -1.2705176513661116 -1.0688324509893827 -1.7109180722255413
