ClusterPath,NumberOfClustersSetting,Precision,Recall,F-measure
/home/kaet/gen/6156/spec-miners/run-spec-miners/ws/dsm-manual/dsm-traces-kamranzafar.jtar/org.kamranzafar.jtar.TarEntry/work_dir/clustering_space/cls_kmeans/S_6,6,0.3684210526315789,1.0,0.5384615384615384
/home/kaet/gen/6156/spec-miners/run-spec-miners/ws/dsm-manual/dsm-traces-kamranzafar.jtar/org.kamranzafar.jtar.TarEntry/work_dir/clustering_space/cls_hierarchical/S_6,6,0.3684210526315789,1.0,0.5384615384615384
/home/kaet/gen/6156/spec-miners/run-spec-miners/ws/dsm-manual/dsm-traces-kamranzafar.jtar/org.kamranzafar.jtar.TarEntry/work_dir/clustering_space/cls_kmeans/S_5,5,0.3684210526315789,1.0,0.5384615384615384
/home/kaet/gen/6156/spec-miners/run-spec-miners/ws/dsm-manual/dsm-traces-kamranzafar.jtar/org.kamranzafar.jtar.TarEntry/work_dir/clustering_space/cls_hierarchical/S_5,5,0.3684210526315789,1.0,0.5384615384615384
/home/kaet/gen/6156/spec-miners/run-spec-miners/ws/dsm-manual/dsm-traces-kamranzafar.jtar/org.kamranzafar.jtar.TarEntry/work_dir/clustering_space/cls_kmeans/S_4,4,0.3684210526315789,1.0,0.5384615384615384
/home/kaet/gen/6156/spec-miners/run-spec-miners/ws/dsm-manual/dsm-traces-kamranzafar.jtar/org.kamranzafar.jtar.TarEntry/work_dir/clustering_space/cls_hierarchical/S_4,4,0.3684210526315789,1.0,0.5384615384615384
/home/kaet/gen/6156/spec-miners/run-spec-miners/ws/dsm-manual/dsm-traces-kamranzafar.jtar/org.kamranzafar.jtar.TarEntry/work_dir/clustering_space/cls_kmeans/S_3,3,0.3684210526315789,1.0,0.5384615384615384
/home/kaet/gen/6156/spec-miners/run-spec-miners/ws/dsm-manual/dsm-traces-kamranzafar.jtar/org.kamranzafar.jtar.TarEntry/work_dir/clustering_space/cls_hierarchical/S_3,3,0.3684210526315789,1.0,0.5384615384615384
/home/kaet/gen/6156/spec-miners/run-spec-miners/ws/dsm-manual/dsm-traces-kamranzafar.jtar/org.kamranzafar.jtar.TarEntry/work_dir/clustering_space/cls_kmeans/S_2,2,0.3684210526315789,1.0,0.5384615384615384
/home/kaet/gen/6156/spec-miners/run-spec-miners/ws/dsm-manual/dsm-traces-kamranzafar.jtar/org.kamranzafar.jtar.TarEntry/work_dir/clustering_space/cls_hierarchical/S_2,2,0.3684210526315789,1.0,0.5384615384615384
